Reference, Quantity, Value, Footprint, Datasheet
AE1 ,1,"Antenna","Encoder:Antenna",""
C18 C21 ,2,"4.7","","~"
C19 ,1,"100nF","","~"
C20 ,1,"100pF","","~"
C22 ,1,"2.2uF","","~"
C23 C24 C25 ,3,"1uF","","~"
C26 C27 ,2,"1.5pF","","~"
J1 ,1,"Conn_01x04_Male","Encoder:SolderWirePad_1x04_SMD_5x10mm_copy","~"
L1 ,1,"2.2uH","","~"
L2 ,1,"1.8nH","","~"
L3 ,1,"3nH","","~"
U1 ,1,"RSL10","",""
Y2 ,1,"XTAL32","","~"
Y3 ,1,"XTAL","","~"
